+----------+----------+--------+------------------+-------------------+----------------+-----------------------------------------+------------------------------------------------+--------------------------------+----------------------+-------------+
|  reino   |   filo   | classe |      ordem       |      familia      |   subfamilia   |                 especie                 |                nome_cientifico                 |             autor              |     nome_popular     | nome_ingles |
| Animalia | Chordata | Aves   | Passeriformes    | Tyrannidae        | Myiozetetes    | M. similis                              | Myiozetetes similis                            | (Spix, 1825)                   |                      |             |
| Animalia | Chordata | Aves   | Passeriformes    | Tyrannidae        | Tyrannus       | T. melancholicus                        | Tyrannus melancholicus                         | (Vieillot, 1819)               |                      |             |
| Animalia | Chordata | Aves   | Passeriformes    | Tyrannidae        | Tyrannus       | T. savana                               | Tyrannus savana                                | (Daudin, 1802)                 |                      |             |
| Animalia | Chordata | Aves   | Passeriformes    | Tyrannidae        | Empidonomus    | E. varius                               | Empidonomus varius                             | (Vieillot, 1818)               |                      |             |
| Animalia | Chordata | Aves   | Passeriformes    | Tyrannidae        | Fluvicola      | F. nengeta                              | Fluvicola nengeta                              | (Linnaeus, 1766)               |                      |             |
| Animalia | Chordata | Aves   | Passeriformes    | Tyrannidae        | Lathrotriccus  | L. euleri                               | Lathrotriccus euleri                           | (Cabanis, 1868)                |                      |             |
| Animalia | Chordata | Aves   | Passeriformes    | Vireonidae        | Cyclarhis      | C. gujanensis                           | Cyclarhis gujanensis                           | (Gmelin, 1789)                 |                      |             |
| Animalia | Chordata | Aves   | Passeriformes    | Vireonidae        | Vireo          | V. chivi                                | Vireo chivi                                    | (Vieillot, 1817)               |                      |             |
| Animalia | Chordata | Aves   | Passeriformes    | Corvidae          | Cyanocorax     | C. chrysops                             | Cyanocorax chrysops                            | (Vieillot, 1818)               |                      |             |
| Animalia | Chordata | Aves   | Passeriformes    | Hirundinidae      | Pygochelidon   | P. cyanoleuca                           | Pygochelidon cyanoleuca                        | (Vieillot, 1817)               |                      |             |
| Animalia | Chordata | Aves   | Passeriformes    | Hirundinidae      | Progne         | P. tapera                               | Progne tapera                                  | (Vieillot, 1817)               |                      |             |
| Animalia | Chordata | Aves   | Passeriformes    | Troglodytidae     | Troglodytes    | T. musculus Naumann, 1823               | Troglodytes musculus Naumann, 1823             | ()                             |                      |             |
| Animalia | Chordata | Aves   | Passeriformes    | Turdidae          | Turdus         | T. flavipes                             | Turdus flavipes                                | (Vieillot, 1818)               |                      |             |
| Animalia | Chordata | Aves   | Passeriformes    | Turdidae          | Turdus         | T. leucomelas                           | Turdus leucomelas                              | (Vieillot, 1818)               |                      |             |
| Animalia | Chordata | Aves   | Passeriformes    | Turdidae          | Turdus         | T. rufiventris                          | Turdus rufiventris                             | (Vieillot, 1818)               |                      |             |
| Animalia | Chordata | Aves   | Passeriformes    | Turdidae          | Turdus         | T. amaurochalinus                       | Turdus amaurochalinus                          | (Cabanis, 1850)                |                      |             |
| Animalia | Chordata | Aves   | Passeriformes    | Turdidae          | Turdus         | T. subalaris                            | Turdus subalaris                               | (Seebohm, 1887)                |                      |             |
| Animalia | Chordata | Aves   | Passeriformes    | Turdidae          | Turdus         | T. albicollis                           | Turdus albicollis                              | (Vieillot, 1818)               |                      |             |
